max_depth, cross_val_score, testing_score, training_time
5,0.51008888,1,0.452000141
10,0.555697756,1,0.652000189
15,0.556373872,1,0.705999851
20,0.52365127,1,0.01699996
25,0.520255451,1,0.016000032
30,0.523656812,1,0.01699996
35,0.518894907,1,0.015999794
40,0.520935723,1,0.016000032
45,0.518214635,1,0.016000032
50,0.518894907,1,0.016000032
,,,
max_depth, cross_val_score, testing_score, training_time
5,0.830694666,0.920966767,3.722000122
10,0.822598522,1,5.143999815
15,0.824531699,1,6.838999987
20,0.833535217,1,7.060000181
25,0.831299144,1,7.17599988
30,0.835045623,1,7.713999987
35,0.839879288,1,7.467999935
40,0.819819913,1,7.623000145
45,0.808882243,1,7.25
50,0.808217631,1,0.144999981
