,Test Accuracy,Training Accuracy,,,,,,,,,,,,,,,,,, 
10,0.823593621,0.873716012,,,,,,,,,,,,,,,,,,
20,0.809358682,0.86978852,,,,,,,,,,,,,,,,,, 
30,0.817544615,0.870292044,,,,,,,,,,,,,,,,,,
40,0.819324975,0.871450151,,,,,,,,,,,,,,,,,,
50,0.816192337,0.871782477,,,,,,,,,,,,,,,,,,
60,0.817522626,0.873917422,,,,,,,,,,,,,,,,,,
70,0.815106153,0.868795857,,,,,,,,,,,,,,,,,,
80,0.815711467,0.871676737,,,,,,,,,,,,,,,,,,
90,0.815171582,0.869822088,,,,,,,,,,,,,,,,,,
100,0.815650238,0.871963746,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
10,,20,,30,,40,,50,,60,,70,,80,,90,,100,,
