,Test Accuracy,Training Accuracy,,,,,,,,,,,,,,,,, 
0.05,0.828700906,0.909214502,,,,,,,,,,,,,,,,,
0.1,0.820241692,0.883232628,,,,,,,,,,,,,,,,, 
0.15,0.834441088,0.86570997,,,,,,,,,,,,,,,,,
0.2,0.828096677,0.856042296,,,,,,,,,,,,,,,,,
0.25,0.824169184,0.854984894,,,,,,,,,,,,,,,,,
0.3,0.83021148,0.852567976,,,,,,,,,,,,,,,,,
0.35,0.804531722,0.822205438,,,,,,,,,,,,,,,,,
0.4,0.818126888,0.843277946,,,,,,,,,,,,,,,,,
0.45,0.788217523,0.796223565,,,,,,,,,,,,,,,,,
0.5,0.773716012,0.789048338,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
0.05,,,,,,,,,,,,,,,,,,,
0.1,,,,,,,,,,,,,,,,,,,
0.15,,,,,,,,,,,,,,,,,,,
0.2,,,,,,,,,,,,,,,,,,,
0.25,,,,,,,,,,,,,,,,,,,
0.3,,,,,,,,,,,,,,,,,,,
0.35,,,,,,,,,,,,,,,,,,,
0.4,,,,,,,,,,,,,,,,,,,
0.45,,,,,,,,,,,,,,,,,,,
0.5,,,,,,,,,,,,,,,,,,,
